Date,Close/Last,Volume,Open,High,Low
4/30/25,"$1,131.72 ",4266676,"$1,112.65 ","$1,133.20 ","$1,101.11 "
4/29/25,"$1,125.64 ",3777329,"$1,103.92 ","$1,127.81 ","$1,095.48 "
4/28/25,"$1,110.38 ",3831088,"$1,100.00 ","$1,114.00 ","$1,082.62 "
4/25/25,"$1,101.53 ",3950008,"$1,097.04 ","$1,106.80 ","$1,091.00 "
4/24/25,"$1,096.87 ",6381896,"$1,048.00 ","$1,101.00 ","$1,047.02 "
4/23/25,"$1,049.59 ",6471876,"$1,047.23 ","$1,061.25 ","$1,032.00 "
4/22/25,"$1,040.34 ",9368873,"$1,005.30 ","$1,064.97 ","$1,004.52 "
4/21/25,$987.91 ,9775747,$984.40 ,"$1,019.00 ",$973.05 
4/17/25,$973.03 ,8893735,$969.00 ,$984.70 ,$956.00 
4/16/25,$961.63 ,6066113,$976.28 ,$981.21 ,$949.17 
4/15/25,$976.28 ,7711982,$950.00 ,$993.45 ,$948.00 
4/14/25,$931.28 ,4035895,$932.70 ,$948.98 ,$919.50 
4/11/25,$918.29 ,4073638,$920.00 ,$944.86 ,$906.68 
4/10/25,$921.17 ,5129755,$931.94 ,$941.24 ,$894.00 
4/9/25,$945.47 ,7497974,$855.93 ,$951.43 ,$854.40 
4/8/25,$870.40 ,5625382,$912.44 ,$922.42 ,$857.70 
4/7/25,$867.83 ,6656823,$827.85 ,$906.74 ,$821.10 
4/4/25,$855.86 ,6798806,$896.50 ,$906.63 ,$853.87 
4/3/25,$917.05 ,5864622,$901.80 ,$946.59 ,$900.47 
4/2/25,$935.52 ,3256886,$923.00 ,$949.55 ,$916.11 
4/1/25,$928.38 ,3519956,$927.50 ,$932.29 ,$911.50 
3/31/25,$932.53 ,4634075,$920.53 ,$934.48 ,$900.59 
3/28/25,$933.85 ,4422717,$972.00 ,$974.98 ,$929.23 
3/27/25,$976.72 ,3047237,$974.22 ,$989.00 ,$966.37 
3/26/25,$970.65 ,3534707,$993.81 ,$996.79 ,$966.32 
3/25/25,$997.28 ,3782245,$978.18 ,$998.70 ,$977.11 
3/24/25,$971.99 ,4677871,$969.67 ,$977.00 ,$951.55 
3/21/25,$960.29 ,5905429,$941.64 ,$963.65 ,$940.95 
3/20/25,$950.84 ,4466305,$950.01 ,$967.00 ,$945.50 
3/19/25,$959.49 ,6662361,$935.77 ,$968.00 ,$924.00 
3/18/25,$929.98 ,6009400,$940.00 ,$948.25 ,$916.30 
3/17/25,$950.02 ,7543146,$939.95 ,$967.63 ,$934.42 
3/14/25,$918.00 ,5200684,$901.46 ,$919.63 ,$901.00 
3/13/25,$890.17 ,5001698,$913.00 ,$921.89 ,$887.51 
3/12/25,$919.68 ,6865837,$914.60 ,$927.18 ,$901.00 
3/11/25,$895.10 ,7398934,$867.41 ,$910.68 ,$866.00 
3/10/25,$866.68 ,6995309,$875.07 ,$881.27 ,$854.50 
3/7/25,$891.11 ,7737488,$897.64 ,$904.89 ,$858.07 
3/6/25,$906.36 ,7852559,$972.99 ,$973.69 ,$899.00 
3/5/25,$990.92 ,3807935,$973.62 ,$995.60 ,$969.48 
3/4/25,$972.58 ,4392814,$971.61 ,$986.31 ,$948.21 
3/3/25,$973.70 ,3907447,$983.00 ,$994.93 ,$964.81 
2/28/25,$980.56 ,4717409,$969.56 ,$982.27 ,$958.17 
2/27/25,$963.07 ,3766566,$995.00 ,"$1,000.73 ",$961.83 
2/26/25,$990.06 ,3397205,$977.60 ,"$1,000.89 ",$976.90 
2/25/25,$977.24 ,4738304,$989.40 ,$994.40 ,$955.00 
2/24/25,$988.47 ,4426227,"$1,008.00 ","$1,015.17 ",$984.48 
2/21/25,"$1,003.15 ",3738710,"$1,029.42 ","$1,032.38 ",$999.39 
2/20/25,"$1,024.54 ",3111831,"$1,042.00 ","$1,045.00 ","$1,015.59 "
2/19/25,"$1,043.33 ",2600048,"$1,035.18 ","$1,045.00 ","$1,024.51 "
2/18/25,"$1,035.85 ",4229339,"$1,060.00 ","$1,062.00 ","$1,023.75 "
2/14/25,"$1,058.60 ",3145430,"$1,044.95 ","$1,064.50 ","$1,041.69 "
