Date,GDP
1/1/25," $29,978 "
10/1/24," $29,724 "
7/1/24," $29,375 "
4/1/24," $29,017 "
1/1/24," $28,624 "
10/1/23," $28,297 "
7/1/23," $27,968 "
4/1/23," $27,454 "
1/1/23," $27,164 "
10/1/22," $26,734 "
7/1/22," $26,272 "
4/1/22," $25,806 "
1/1/22," $25,215 "
10/1/21," $24,777 "
7/1/21," $23,922 "
4/1/21," $23,369 "
1/1/21," $22,657 "
10/1/20," $22,069 "
7/1/20," $21,685 "
4/1/20," $19,935 "
1/1/20," $21,728 "
10/1/19," $21,933 "
7/1/19," $21,717 "
4/1/19," $21,398 "
1/1/19," $21,112 "
10/1/18," $20,918 "
7/1/18," $20,799 "
4/1/18," $20,581 "
1/1/18," $20,329 "
10/1/17," $20,037 "
7/1/17," $19,693 "
4/1/17," $19,439 "
1/1/17," $19,280 "
10/1/16," $19,089 "
7/1/16," $18,893 "
4/1/16," $18,712 "
1/1/16," $18,526 "
10/1/15," $18,435 "
7/1/15," $18,402 "
4/1/15," $18,280 "
1/1/15," $18,064 "
